Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
16/05/2021,Everton,Sheffield United,0,1,A,1.36,4.75,8.5
18/05/2021,Man United,Fulham,1,1,D,1.28,6.0,9.0
18/05/2021,Southampton,Leeds,0,2,A,2.55,3.9,2.5
18/05/2021,Brighton,Man City,3,2,H,7.0,4.5,1.45
18/05/2021,Chelsea,Leicester,2,1,H,1.7,3.75,5.0
19/05/2021,Everton,Wolves,1,0,H,1.85,3.6,4.2
19/05/2021,Newcastle,Sheffield United,1,0,H,1.72,3.8,4.75
19/05/2021,Tottenham,Aston Villa,1,2,A,1.5,4.5,6.0
19/05/2021,Crystal Palace,Arsenal,1,3,A,6.0,4.5,1.5
19/05/2021,Burnley,Liverpool,0,3,A,11.0,7.0,1.22
19/05/2021,West Brom,West Ham,1,3,A,5.0,4.33,1.6
23/05/2021,Arsenal,Brighton,2,0,H,1.57,4.33,5.25
23/05/2021,Aston Villa,Chelsea,2,1,H,6.5,4.6,1.45
23/05/2021,Fulham,Newcastle,0,2,A,2.05,3.8,3.3
23/05/2021,Leeds,West Brom,3,1,H,1.4,5.25,6.5
23/05/2021,Leicester,Tottenham,2,4,A,2.0,4.0,3.3
23/05/2021,Liverpool,Crystal Palace,2,0,H,1.14,8.5,15.0
23/05/2021,Man City,Everton,5,0,H,1.44,5.0,6.5
23/05/2021,Sheffield United,Burnley,1,0,H,2.8,3.6,2.4
23/05/2021,West Ham,Southampton,3,0,H,1.65,4.0,5.0
23/05/2021,Wolves,Man United,1,2,A,2.5,3.5,2.7
13/08/2021,Brentford,Arsenal,2,0,H,4.0,3.4,1.95
14/08/2021,Man United,Leeds,5,1,H,1.53,4.5,5.75
14/08/2021,Burnley,Brighton,1,2,A,3.1,3.1,2.45
14/08/2021,Chelsea,Crystal Palace,3,0,H,1.25,5.75,13.0
14/08/2021,Everton,Southampton,3,1,H,1.9,3.5,4.0
